Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


PPFAS Mutual Fund
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.2343;;;01-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.2872;;;02-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.3563;;;03-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.4200;;;04-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.2377;;;05-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.9126;;;08-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.9160;;;09-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.8704;;;10-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.0614;;;11-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.0614;;;12-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.0776;;;15-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.1682;;;16-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.1404;;;17-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;26.0274;;;18-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.7246;;;19-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.5424;;;22-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.6100;;;23-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.4847;;;24-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.5733;;;25-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.5915;;;26-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.7339;;;29-Jul-2019
122639;Parag Parikh Long Term Equity Fund - Direct Plan - Growth;INF879O01027;;25.5037;;;30-Jul-2019
